combo,iterations,depth,learning_rate,l2_leaf_reg,bagging_temperature,mean_rmse_cv,std_rmse_cv,sharpe,dir_acc_pct,mae_pct,profit_factor,TP,TN,FP,FN,accuracy,elapsed_s
27,5000,8,0.001,25.0,1.0,0.005199539648445996,0.0008369698712992169,0.022333342866143652,51.53714773697694,99.96438803171675,1.0714020590673805,4968,1067,4714,961,0.5153714773697694,60.3
13,25000,6,0.001,3.0,0.5,0.005199869475154603,0.0008370354483309537,0.022233362219609816,51.12724167378309,99.9741291939727,1.0710712153810147,4964,1023,4758,965,0.5112724167378309,13.7
34,25000,6,0.001,3.0,1.0,0.005199869475154603,0.0008370354483309537,0.022233362219609816,51.12724167378309,99.9741291939727,1.0710712153810147,4964,1023,4758,965,0.5112724167378309,13.6
95,10000,6,0.01,43.0,1.0,0.005195465075703456,0.000836688760472315,0.021879431124082416,51.43467122117848,99.95275374429639,1.06990086117822,4832,1191,4590,1097,0.5143467122117849,13.0
128,100000,6,0.01,43.0,0.5,0.005195465075703456,0.000836688760472315,0.021879431124082416,51.43467122117848,99.95275374429639,1.06990086117822,4832,1191,4590,1097,0.5143467122117849,12.2
67,100000,8,0.001,5.0,1.5,0.005199461707219472,0.0008370747699468243,0.02176157479604199,51.20409906063193,99.97927153559003,1.069511429705307,5446,550,5231,483,0.5120409906063194,37.7
80,100000,8,0.001,5.0,1.0,0.005199461707219472,0.0008370747699468243,0.02176157479604199,51.20409906063193,99.97927153559003,1.069511429705307,5446,550,5231,483,0.5120409906063194,37.8
102,5000,8,0.001,5.0,0.5,0.005199461707219472,0.0008370747699468243,0.02176157479604199,51.20409906063193,99.97927153559003,1.069511429705307,5446,550,5231,483,0.5120409906063194,37.2
37,5000,8,0.001,7.0,1.5,0.005198977816708377,0.0008367814428991979,0.02170128827560075,51.35781383432963,99.97209068577216,1.069312281050913,5318,696,5085,611,0.5135781383432964,47.4
71,10000,8,0.001,7.0,1.0,0.005198977816708377,0.0008367814428991979,0.02170128827560075,51.35781383432963,99.97209068577216,1.069312281050913,5318,696,5085,611,0.5135781383432964,44.6
63,10000,6,0.001,20.0,1.0,0.005199121851076472,0.0008369570834666161,0.02143683110602646,51.13578138343296,99.97032741374345,1.068439124749092,4695,1293,4488,1234,0.5113578138343297,29.2
44,100000,6,0.03,15.0,0.5,0.005197972161258914,0.0008362118795316449,0.021426610064258004,50.87105038428693,100.0201982883952,1.0684053925009833,4612,1345,4436,1317,0.5087105038428693,3.6
8,2000,8,0.01,20.0,1.5,0.00519740151678816,0.0008368297427301266,0.021187228532153143,51.272416737830916,100.02253116173172,1.0676156758269753,4840,1164,4617,1089,0.5127241673783092,15.6
35,10000,6,0.1,3.0,0.5,0.005200914108502905,0.0008367006434587545,0.0211698292389747,51.0333048676345,99.99433836722787,1.0675582988147514,5393,584,5197,536,0.5104184457728437,2.7
122,2000,6,0.05,3.0,0.5,0.005201310758220738,0.0008368301633619535,0.02103557012556741,50.87959009393681,100.20186784521682,1.067115662392515,4749,1209,4572,1180,0.5087959009393681,3.3
96,10000,8,0.05,5.0,1.5,0.00519952484659494,0.0008367126371125191,0.020965900476988465,50.896669513236546,100.03355849905952,1.0668860430036777,4777,1183,4598,1152,0.5089666951323655,5.9
139,100000,8,0.05,5.0,1.0,0.00519952484659494,0.0008367126371125191,0.020965900476988465,50.896669513236546,100.03355849905952,1.0668860430036777,4777,1183,4598,1152,0.5089666951323655,5.8
17,5000,8,0.001,20.0,0.5,0.005199283842496084,0.0008368323197915286,0.020917711171934705,51.35781383432963,99.97046516051326,1.0667272484519679,4806,1208,4573,1123,0.5135781383432964,61.0
90,5000,8,0.001,20.0,1.5,0.005199283842496084,0.0008368323197915286,0.020917711171934705,51.35781383432963,99.97046516051326,1.0667272484519679,4806,1208,4573,1123,0.5135781383432964,60.5
136,25000,8,0.1,5.0,1.5,0.0051990964207726505,0.0008358479280100861,0.02070923489731584,50.84543125533732,99.98915138909295,1.0660405479458852,5373,581,5200,556,0.5084543125533731,5.2
78,2000,8,0.001,3.0,1.5,0.005199214801053656,0.0008370590436845395,0.020478708986147853,51.06746370623399,99.94937649621896,1.0652817388380955,4560,1420,4361,1369,0.5106746370623398,32.2
42,10000,8,0.001,20.0,0.5,0.005199249788857285,0.0008368307361273045,0.02031348766576006,51.31511528608027,99.97124392730551,1.0647382253614464,4795,1214,4567,1134,0.5131511528608027,62.7
141,100000,8,0.001,20.0,1.0,0.005199249788857285,0.0008368307361273045,0.02031348766576006,51.31511528608027,99.97124392730551,1.0647382253614464,4795,1214,4567,1134,0.5131511528608027,62.9
5,5000,8,0.01,43.0,0.5,0.005195366420040842,0.0008370304725764139,0.020203732391445774,51.06746370623399,99.99881041139655,1.064377328550196,5102,878,4903,827,0.5106746370623398,29.4
114,25000,6,0.001,15.0,1.0,0.005199148810707142,0.00083703484213532,0.020043041662853284,50.96498719043553,99.95884137482828,1.0638491691943768,4636,1332,4449,1293,0.5096498719043553,25.0
99,5000,8,0.001,3.0,0.5,0.005198960474350712,0.0008370471442027517,0.019853436036315612,51.06746370623399,99.95065744961026,1.0632263130753812,4541,1439,4342,1388,0.5106746370623398,35.5
120,25000,8,0.001,3.0,1.5,0.005198960474350712,0.0008370471442027517,0.019853436036315612,51.06746370623399,99.95065744961026,1.0632263130753812,4541,1439,4342,1388,0.5106746370623398,34.8
117,10000,8,0.001,43.0,0.5,0.005199059021187952,0.0008369283190215968,0.019787325098849066,51.28949615713066,99.97066677476835,1.0630092248051208,5078,928,4853,851,0.5128949615713065,102.4
53,10000,6,0.005,3.0,0.5,0.005199450003947932,0.0008367722817879966,0.019733657024479483,51.195559350982066,100.004215312549,1.0628330280898675,5100,895,4886,829,0.5119555935098207,5.2
124,5000,6,0.005,3.0,1.0,0.005199450003947932,0.0008367722817879966,0.019733657024479483,51.195559350982066,100.004215312549,1.0628330280898675,5100,895,4886,829,0.5119555935098207,5.7
142,10000,6,0.005,3.0,1.0,0.005199450003947932,0.0008367722817879966,0.019733657024479483,51.195559350982066,100.004215312549,1.0628330280898675,5100,895,4886,829,0.5119555935098207,5.8
143,25000,6,0.005,3.0,1.5,0.005199450003947932,0.0008367722817879966,0.019733657024479483,51.195559350982066,100.004215312549,1.0628330280898675,5100,895,4886,829,0.5119555935098207,5.6
108,5000,6,0.001,5.0,1.0,0.005198616251955639,0.0008370523498514296,0.0194761237578447,51.17847993168232,100.00281961899171,1.0619879359405868,4460,1533,4248,1469,0.5117847993168232,22.6
76,100000,8,0.05,7.0,1.0,0.005200414228116451,0.0008367383441281622,0.01944932682086342,51.306575576430404,99.988565563861,1.061900041169953,5066,942,4839,863,0.513065755764304,5.4
123,2000,8,0.03,7.0,1.5,0.005198968285981069,0.000836316495254149,0.01943414319493696,51.2467976088813,99.98089303460527,1.0618502416785118,4333,1668,4113,1596,0.512467976088813,7.4
52,25000,8,0.1,3.0,1.5,0.00520073308724448,0.0008357021021552086,0.018956199106682378,50.862510674637065,99.99183913528302,1.0602838796187637,5679,277,5504,250,0.5086251067463706,5.1
86,5000,8,0.1,3.0,0.5,0.00520073308724448,0.0008357021021552086,0.018956199106682378,50.862510674637065,99.99183913528302,1.0602838796187637,5679,277,5504,250,0.5086251067463706,5.1
58,5000,6,0.05,11.0,0.5,0.005196315944987988,0.0008363656386221741,0.018927672335349775,50.68317677198976,100.07400838608007,1.0601904629796843,3931,2004,3777,1998,0.5068317677198976,4.0
